Name,Code,Employment2023,Employment2033,EmploymentChangePercent,AnnualWage,Handbook
Chief executives,11-1011,313.9,331.1,5.5,"206,420",https://www.bls.gov/ooh/management/top-executives.htm
General and operations managers,11-1021,"3,630.1","3,840.5",5.8,"102,950",https://www.bls.gov/ooh/management/top-executives.htm
      Legislators,11-1031,33.7,35.0,4.1,"44,810",
      Advertising and promotions managers,11-2011,22.2,21.7,-2.6,"126,960",https://www.bls.gov/ooh/management/advertising-promotions-and-marketing-managers.htm
        Marketing managers,11-2021,389.1,420.8,8.2,"161,030",https://www.bls.gov/ooh/management/advertising-promotions-and-marketing-managers.htm
        Sales managers,11-2022,584.8,619.1,5.9,"138,060",https://www.bls.gov/ooh/management/sales-managers.htm
        Public relations managers,11-2032,78.4,83.8,6.9,"138,520",https://www.bls.gov/ooh/management/public-relations-managers.htm
        Fundraising managers,11-2033,38.2,40.5,5.9,"123,480",https://www.bls.gov/ooh/management/public-relations-managers.htm
        Administrative services managers,11-3012,256.8,272.8,6.2,"108,390",https://www.bls.gov/ooh/management/administrative-services-managers.htm
        Facilities managers,11-3013,140.5,147.9,5.3,"104,690",https://www.bls.gov/ooh/management/administrative-services-managers.htm
      Computer and information systems managers,11-3021,613.5,720.4,17.4,"171,200",https://www.bls.gov/ooh/management/computer-and-information-systems-managers.htm
      Financial managers,11-3031,837.1,975.3,16.5,"161,700",https://www.bls.gov/ooh/management/financial-managers.htm
      Industrial production managers,11-3051,230.1,236.7,2.8,"121,440",https://www.bls.gov/ooh/management/industrial-production-managers.htm
      Purchasing managers,11-3061,81.3,85.4,5.1,"139,510",https://www.bls.gov/ooh/business-and-financial/purchasing-managers-buyers-and-purchasing-agents.htm
"      Transportation, storage, and distribution managers",11-3071,211.8,230.8,9.0,"102,010",https://www.bls.gov/ooh/management/transportation-storage-and-distribution-managers.htm
      Compensation and benefits managers,11-3111,19.1,19.5,2.1,"140,360",https://www.bls.gov/ooh/management/compensation-and-benefits-managers.htm
      Human resources managers,11-3121,208.9,222.5,6.5,"140,030",https://www.bls.gov/ooh/management/human-resources-managers.htm
      Training and development managers,11-3131,43.2,46.4,7.3,"127,090",https://www.bls.gov/ooh/management/training-and-development-managers.htm
"      Farmers, ranchers, and other agricultural managers",11-9013,856.6,842.9,-1.6,"87,980",https://www.bls.gov/ooh/management/farmers-ranchers-and-other-agricultural-managers.htm
      Construction managers,11-9021,520.9,568.5,9.1,"106,980",https://www.bls.gov/ooh/management/construction-managers.htm
"        Education and childcare administrators, preschool and daycare",11-9031,80.9,79.2,-2.1,"56,270",https://www.bls.gov/ooh/management/preschool-and-childcare-center-directors.htm
"        Education administrators, kindergarten through secondary",11-9032,316.6,315.0,-0.5,"104,070",https://www.bls.gov/ooh/management/elementary-middle-and-high-school-principals.htm
"        Education administrators, postsecondary",11-9033,216.4,222.7,2.9,"103,960",https://www.bls.gov/ooh/management/postsecondary-education-administrators.htm
"        Education administrators, all other",11-9039,57.7,59.1,2.5,"89,040",
      Architectural and engineering managers,11-9041,210.2,221.8,5.5,"167,740",https://www.bls.gov/ooh/management/architectural-and-engineering-managers.htm
      Food service managers,11-9051,393.6,399.5,1.5,"65,310",https://www.bls.gov/ooh/management/food-service-managers.htm
        Gambling managers,11-9071,5.3,5.5,5.1,"85,580",https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm
"        Entertainment and recreation managers, except gambling",11-9072,35.8,39.7,10.8,"77,180",https://www.bls.gov/ooh/management/entertainment-and-recreation-managers.htm
      Lodging managers,11-9081,53.3,58.6,9.9,"68,130",https://www.bls.gov/ooh/management/lodging-managers.htm
      Medical and health services managers,11-9111,562.7,723.3,28.5,"117,960",https://www.bls.gov/ooh/management/medical-and-health-services-managers.htm
      Natural sciences managers,11-9121,100.1,107.6,7.5,"161,180",https://www.bls.gov/ooh/management/natural-sciences-managers.htm
      Postmasters and mail superintendents,11-9131,13.2,12.8,-3.0,"92,730",
"      Property, real estate, and community association managers",11-9141,467.1,482.2,3.2,"66,700",https://www.bls.gov/ooh/management/property-real-estate-and-community-association-managers.htm
      Social and community service managers,11-9151,199.5,215.9,8.2,"78,240",https://www.bls.gov/ooh/management/social-and-community-service-managers.htm
